Date,Close,10ma_IN,20ma_IN,+2sigma_IN,-2sigma_IN,%DR,DR_ma,High_IN,Low_IN,Vol_IN,Vol_MA_IN,Target,Entry,Stop_Loss,MA_Exit_Date,MA_on_Exit,20ma_OUT,+2sigma_OUT,-2sigma_OUT,Duration,Close_OUT,High_OUT,Low_OUT,Vol_OUT,GL_on_MA,GL_MA_Money,GL_MA_%,SS_IN,HLS_IN,GL_Success,Above_Vol_Ma,10_above_20,Close_above_2s,DR_above_DRma,DR_ma_up
2015-08-28,63.13,62.72,64.045,69.708,58.381,2.751,-0.159,63.2,61.12,2615800,3503865.0,66.287,63.13,59.974,2015-08-31,62.442,63.588,68.321,58.854,3 days 00:00:00.000000000,61.76,63.27,61.67,2165700,-0.688,-68.8,-1.09,11.328,2.08,0,0,0,0,1,0
2015-09-08,62.38,61.205,62.294,65.69,58.898,4.262,0.31,62.96,61.45,2486800,2757400.0,65.499,62.38,59.261,2015-09-24,62.981,62.161,64.595,59.728,16 days 00:00:00.000000000,62.33,63.15,61.54,3040800,0.601,60.1,0.963,6.792,1.51,1,0,0,0,1,1
2015-10-02,61.34,61.154,61.753,64.984,58.521,1.978,-0.287,61.35,58.54,2497700,2257130.0,64.407,61.34,58.273,2015-10-22,64.862,62.915,67.613,58.217,20 days 00:00:00.000000000,63.16,66.1,61.95,3559100,3.522,352.2,5.742,6.462,2.81,1,1,0,0,1,0
2015-10-26,64.99,64.896,63.453,67.525,59.381,0.557,-0.021,65.05,64.34,1638500,2035135.0,68.239,64.99,61.74,2015-11-04,65.422,65.155,67.959,62.351,9 days 00:00:00.000000000,61.63,62.73,60.51,9102400,0.432,43.2,0.665,8.144,0.71,1,0,1,0,1,0
2015-11-20,58.75,58.105,61.447,69.352,53.541,1.468,-0.231,58.81,58.09,3104600,3119875.0,61.688,58.75,55.812,2015-12-03,59.317,58.951,61.304,56.598,13 days 00:00:00.000000000,59.23,60.34,58.99,2533700,0.567,56.7,0.965,15.81,0.72,1,0,0,0,1,0
2015-12-04,60.13,59.54,58.894,61.055,56.732,1.52,0.383,60.31,58.91,2104500,2852265.0,63.137,60.13,57.124,2015-12-14,60.012,59.326,61.24,57.412,10 days 00:00:00.000000000,59.94,60.6,59.11,2200100,-0.118,-11.8,-0.196,4.323,1.4,0,0,1,0,1,1
2015-12-15,60.42,60.038,59.484,61.192,57.775,0.801,0.047,60.83,59.92,1681000,2427365.0,63.441,60.42,57.399,2015-12-18,60.125,59.832,61.037,58.628,3 days 00:00:00.000000000,59.02,60.19,58.92,3325100,-0.295,-29.5,-0.488,3.418,0.91,0,0,1,0,1,1
2015-12-22,60.43,60.114,59.955,60.974,58.937,1.257,0.034,61.5,59.31,1355700,2285695.0,63.452,60.43,57.408,2015-12-31,60.422,60.271,61.52,59.023,9 days 00:00:00.000000000,60.17,61.01,60.08,1513800,-0.008,-0.8,-0.013,2.037,2.19,0,0,1,0,1,1
2016-01-12,59.16,58.934,59.621,62.269,56.974,3.318,-0.223,59.17,57.2,2051400,1903820.0,62.118,59.16,56.202,2016-01-13,58.582,59.541,62.245,56.837,1 days 00:00:00.000000000,58.33,59.92,58.23,2560500,-0.578,-57.8,-0.977,5.295,1.97,0,1,0,0,1,0
2016-01-29,58.01,56.537,57.437,59.817,55.058,3.663,-0.014,58.02,56.02,2118900,2121115.0,60.91,58.01,55.109,2016-02-02,56.647,57.234,59.22,55.248,4 days 00:00:00.000000000,56.64,57.13,55.91,1708700,-1.363,-136.3,-2.35,4.758,2.0,0,0,0,0,1,0
2016-02-03,57.21,56.765,57.19,59.136,55.245,1.006,0.224,57.81,55.92,1393000,2057925.0,60.07,57.21,54.349,2016-02-05,56.824,57.116,59.301,54.931,2 days 00:00:00.000000000,55.31,58.43,55.04,2342500,-0.386,-38.6,-0.675,3.892,1.89,0,0,0,0,1,1
2016-02-16,55.46,55.451,56.036,58.698,53.375,1.02,-0.356,56.01,55.03,3397100,2030515.0,58.233,55.46,52.687,2016-02-17,55.068,55.858,58.876,52.839,1 days 00:00:00.000000000,52.81,53.5,49.89,15699700,-0.392,-39.2,-0.707,5.323,0.98,0,1,0,0,1,0
2016-03-04,51.64,51.375,52.617,55.907,49.327,3.28,0.057,52.15,49.9,5134600,3710030.0,54.222,51.64,49.058,2016-03-15,52.467,52.095,54.153,50.037,11 days 00:00:00.000000000,52.08,53.2,51.92,1953300,0.827,82.7,1.601,6.581,2.25,1,1,0,0,1,1
